snapshot_utc,league_id,round,season,roster_id,owner_id,previous_owner_id
2026-08-31T15:40:56+00:00,1370218620990263296,5,2026,1,9,1
2026-08-31T15:40:56+00:00,1370218620990263296,6,2026,1,9,1
2026-08-31T15:40:56+00:00,1370218620990263296,11,2026,1,1,9
2026-08-31T15:40:56+00:00,1370218620990263296,13,2026,1,9,1
2026-08-31T15:40:56+00:00,1370218620990263296,14,2026,1,9,1
2026-08-31T15:40:56+00:00,1370218620990263296,2,2027,1,9,1
2026-08-31T15:40:56+00:00,1370218620990263296,2,2028,1,12,1
2026-08-31T15:40:56+00:00,1370218620990263296,2,2027,2,1,2
2026-08-31T15:40:56+00:00,1370218620990263296,3,2027,2,1,2
2026-08-31T15:40:56+00:00,1370218620990263296,1,2026,3,12,3
2026-08-31T15:40:56+00:00,1370218620990263296,6,2026,3,12,3
2026-08-31T15:40:56+00:00,1370218620990263296,8,2026,3,11,3
2026-08-31T15:40:56+00:00,1370218620990263296,10,2026,3,12,3
2026-08-31T15:40:56+00:00,1370218620990263296,12,2026,6,9,6
2026-08-31T15:40:56+00:00,1370218620990263296,1,2027,6,9,6
2026-08-31T15:40:56+00:00,1370218620990263296,2,2027,7,1,7
2026-08-31T15:40:56+00:00,1370218620990263296,12,2026,8,11,8
2026-08-31T15:40:56+00:00,1370218620990263296,1,2027,8,5,8
2026-08-31T15:40:56+00:00,1370218620990263296,1,2028,8,10,8
2026-08-31T15:40:56+00:00,1370218620990263296,3,2026,9,11,9
2026-08-31T15:40:56+00:00,1370218620990263296,4,2026,9,1,9
2026-08-31T15:40:56+00:00,1370218620990263296,5,2026,9,1,9
2026-08-31T15:40:56+00:00,1370218620990263296,7,2026,9,6,9
2026-08-31T15:40:56+00:00,1370218620990263296,9,2026,9,3,11
2026-08-31T15:40:56+00:00,1370218620990263296,14,2026,9,1,9
2026-08-31T15:40:56+00:00,1370218620990263296,17,2026,9,1,9
2026-08-31T15:40:56+00:00,1370218620990263296,25,2026,9,1,9
2026-08-31T15:40:56+00:00,1370218620990263296,2,2027,9,6,9
2026-08-31T15:40:56+00:00,1370218620990263296,3,2027,9,12,1
2026-08-31T15:40:56+00:00,1370218620990263296,3,2026,11,9,11
2026-08-31T15:40:56+00:00,1370218620990263296,4,2026,11,9,11
2026-08-31T15:40:56+00:00,1370218620990263296,12,2026,11,9,11
2026-08-31T15:40:56+00:00,1370218620990263296,24,2026,11,3,11
2026-08-31T15:40:56+00:00,1370218620990263296,2,2027,11,8,11
2026-08-31T15:40:56+00:00,1370218620990263296,1,2026,12,3,12
2026-08-31T15:40:56+00:00,1370218620990263296,4,2026,12,3,12
2026-08-31T15:40:56+00:00,1370218620990263296,8,2026,12,3,12
2026-08-31T15:40:56+00:00,1359546418284494848,7,2026,1,4,1
2026-08-31T15:40:56+00:00,1359546418284494848,4,2026,2,8,2
2026-08-31T15:40:56+00:00,1359546418284494848,13,2026,2,8,2
2026-08-31T15:40:56+00:00,1359546418284494848,6,2026,4,1,4
2026-08-31T15:40:56+00:00,1359546418284494848,8,2026,8,2,8
2026-08-31T15:40:56+00:00,1359546418284494848,15,2026,8,2,8
